sepal_length,sepal_width,petal_length,petal_width,target
8.249080237694725,5.411317277852158,7.277354579378964,3.2391884918766034,1
9.401428612819831,4.755786185530937,7.042698063547792,4.42648957444599,2
8.96398788362281,4.5975773894779195,8.15747501830386,4.521570097233795,0
8.697316968394073,5.92332830588,7.213506653387179,4.122554395138993,2
7.812037280884873,5.948448049611839,7.061869019374761,4.541934359909122,1
7.8119890406724055,5.712596022174692,7.585392166316497,3.9875911927287815,0
7.616167224336399,4.956920653760056,6.781848449949525,4.045465658763988,0
9.232352291549871,4.646508171009576,8.10439396150808,3.855082036717099,0
8.702230023486418,5.526349539768235,6.649101287359541,3.05083825348819,2
8.91614515559209,5.160228740609402,8.473773873201035,3.215782853986609,1
7.541168988591605,4.683057352267168,8.044489538593314,3.0628583713734683,0
9.43981970432399,5.242765365166905,6.897431363068344,4.272820822527561,0
9.164885281600844,4.551582781672828,6.511044234247205,3.6287119621526536,0
7.924678221356553,5.863980603118173,8.130922856909669,4.017141382329406,2
7.863649934414202,4.888169972400025,7.913714687695235,4.815132947852186,2
7.866809019706867,5.493783426530973,7.958014336081975,3.49858445829775,1
8.108484485919075,4.967566614134117,8.042540693371892,3.8207658460712595,2
8.549512863264475,5.280102031766717,6.648089303468181,4.511102277086097,0
8.363890037284232,5.320065419014919,7.216931457088545,3.457596330983245,1
8.082458280396084,4.77728168328829,6.731738119050259,3.1539598196575858,0
8.72370578944476,5.954376941646838,8.226206851751186,3.5795029058275363,0
7.778987721304084,5.662699235041671,7.746596253655116,3.322442574508009,2
8.084289297070436,5.909248412346283,7.161796049705298,4.859395304685146,1
8.232723686587384,5.842241025641473,6.6271167005720475,4.616240759128834,2
8.412139968434072,5.396849968216628,7.121964643431324,4.266807513020847,2
9.070351922786028,5.8828113525346755,7.150366644053494,4.742921180375435,1
7.899347564316719,4.632738753077879,7.959212356676128,4.607344153798229,0
8.528468876827223,4.793974293628718,7.7751149427104265,3.3731401177720715,0
8.684829137724085,4.567840933365807,8.274425485152653,4.785117996979956,1
7.592900825439996,4.9879954961448965,7.444429850323899,4.078684483831301,0
